E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16
O00585,,T,F,F,F,P32248,7322,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,CCL21,CCR7
O00585,,T,F,F,F,Q9NPB9,21873,G protein-coupled 7TM receptor,"CCL21 binding to CCRL1 induces beta-arrestin recruitment leading to ligand internalization,and induces chemotaxis of dendritic cells and T cells.  CCL21 plays an important role in controlling the migration of immune and cancer cells that express chemokine receptors CCR7 and CCR9 by reducing the availability of CCL19 through internalization. ",,Extracellular Protein Mediator,Regulatory,+,CCL21,CCRL1
O00626,,T,F,F,F,P51679,4851671,G protein-coupled 7TM receptor,Engagement of extracellular mediator with  CCR4-dependent stimulates intracellular calcium mobilization and immune cell signalling and migration.,,Extracellular Protein Mediator,Regulatory,+,CCL22,CCR4
O14511,,T,F,F,F,P04626,1508,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,NRG2,ERBB2
O14511,,T,F,F,F,P21860,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,NRG2,ERBB3
O14511,,T,F,F,F,P21860,,,Neuregulin-2 binds to ERBB3 inducing receptor dimerization and activation .,,Extracellular Protein Mediator,Tyr Kinase,+,NRG2,ERBB3
O14511,,T,F,F,F,Q15303,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. Downstream signallin includes recruitment and activation of PIK3R2 (Phosphatidylinositol 3-kinase regulatory subunit) and activation of the PI3K/AKT pathway.",,Extracellular Protein Mediator,Tyr Kinase,+,NRG2,ERBB4
O14511,,T,F,F,F,Q15303,,,Neuregulin-2 binds to ERBB4 inducing receptor dimerization and activation.,,Extracellular Protein Mediator,Tyr Kinase,+,NRG2,ERBB4
O14625,,T,F,F,F,P49682,10069,G protein-coupled 7TM receptor,"Engagement of extracellular mediator with the receptor activates downstream signalling and internalization of CXCR3.  This induces calcium release in activated T-cells,and is chemotactic for interleukin-activated T-cells,but not unstimulated T-cells neutrophils or monocytes. It has inhibitory activity on the cell proliferation,survival and angiogenic activity of microvascular endothelial cells.",,Extracellular Protein Mediator,Regulatory,+,CXCL11,CXCR3
O14788,,T,F,F,F,Q9Y6Q6,2616654,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,TNFSF11,TNFRSF11A
O14793,,T,F,F,F,P27037,782,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,GDF8,ACVR2A
O14793,,T,F,F,F,Q13705,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor is suspected to induce dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. The effect of direct interaction of the ligand with the receptor is unclear.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,MSTN,ACVR2B
O14793,,T,F,F,F,Q13705,,,Growth and differentiation factor 8 that acts as a negative regulator of skeletal muscle growth,,Extracellular Protein Mediator,Ser/Thr Kinase,+,MSTN,ACVR2B
O14944,,T,F,F,F,P00533,592,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. Downstream signalling regulates cell growth,proliferation and survival,includes PI3K/Stat and Ras pathways. ",,Extracellular Protein Mediator,Tyr Kinase,+,EREG,EGFR
O14944,,T,F,F,F,P00533,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. Ligand of the EGF receptor/EGFR and ERBB4 which stimulates EGFR and ERBB4 tyrosine phosphorylation. Contributes to inflammation wound healing tissue repair and oocyte maturation by regulating angiogenesis and vascular remodeling and by stimulating cell proliferation",,Extracellular Protein Mediator,Tyr Kinase,+,EREG,EGFR
O14944,,T,F,F,F,P04626,1580,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,EREG,ERBB2
O14944,,T,F,F,F,P21860,830,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,EREG,ERBB3
O14944,,T,F,F,F,Q15303,594,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,EREG,ERBB4
O15123,,T,F,F,F,P35590,1972,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,ANGPT2,TIE1
O15123,,T,F,F,F,Q02763,1246,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. ANGPT2 binds to TIE2 competing for the ANGPT1 binding site,and modulates ANGPT1 signalling. Engagement of ANGPT2 with TIE2 activates downstream signalling,including tyrosine phosphorylation of TIE2 in the absence of ANGPT1.  ANGPT2 induces endothelial cell apoptosis and vascular regression. Without an angiogenic inducer such as VEGF,loosening of cell-matrix contacts may occur and induce endothelial cell apoptosis,but with VEGF,it may facilitate endothelial cell migration and proliferation serving as a permissive angiogenic signal.",,Extracellular Protein Mediator,Tyr Kinase,+,ANGPT2,TIE2
O15444,,T,F,F,F,Q9NPB9,21873,G protein-coupled 7TM receptor,"Engagement of CCL25 with ACKR4 activates downstream signalling,including beta-arrestin recruitment,which leads to ligand internalization and cell chemotaxis.",,Extracellular Protein Mediator,Regulatory,+,CCL25,ACKR4
O15444,,T,F,F,F,P51686,1288067,G protein-coupled 7TM receptor,"Engagement of extracellular mediator with the receptor activates downstream signalling,including MAPK,and is chemotactic for thymocytes,macrophages,and dendritic cells,and involved  T-cell development and migration.",,Extracellular Protein Mediator,Regulatory,+,CCL25,CCR9
O15467,,T,F,F,F,P32246,9317,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL16,CCR1
O15467,,T,F,F,F,P41597,1867,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL16,CCR2
O15467,,T,F,F,F,P51681,2147,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL16,CCR5
O15467,,T,F,F,F,P51685,12322,G protein-coupled 7TM receptor,"Engagement of extracellular mediator with the receptor activates downstream signalling,leading to cell migration and adhesion. CCL16 has chemotactic activity for lymphocytes and monocytes,but not neutrophils,and it shows potent myelosuppressive activity - suppresses proliferation of myeloid progenitor cells.",,Extracellular Protein Mediator,Regulatory,+,CCL16,CCR8
O15520,,T,F,F,F,P11362,599,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF10,FGFR1
O15520,,T,F,F,F,P21802,1262,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. Binding of FGF10 to FGFR2 causes receptor dimerization,trans-autophosphorylation,and activation of downstream signalling,including for RAS/MAPK + AKT1 + PLCγ/PKC and STAT pathways. This is important for embryonic development,cell proliferation and cell differentiation. ",,Extracellular Protein Mediator,Tyr Kinase,+,FGF10,FGFR2
O43320,,T,F,F,F,P11362,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor  is suspected to induce dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,0,FGF16,FGFR1
O43320,,T,F,F,F,P22455,1263,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor  is suspected to induce dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,0,FGF16,FGFR4
O43427,,T,F,F,F,P47901,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,FIBP,AVPR1B
O43508,,T,F,F,F,Q9NP84,14112305,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,TNFSF12,TNFRSF12A
O43557,,T,F,F,F,P36941,,Single pass TM receptor,"Forms a homotrimeric complex that upon binding to LTBR activates downstream NF-kappaB signalling,and stimulates immune responses to promote inflammation.",,Extracellular Protein Mediator,Regulatory,+,TNFSF14,LTBR
O43557,,T,F,F,F,Q92956,14083907,Single pass TM receptor,Engagement of extracellular mediator with receptor stimulates TNFRSF14 signalling by delivering costimulatory signals to T cells leading to T cell proliferation and IFN-gamma production.,,Extracellular Protein Mediator,Regulatory,+,TNFSF14,TNFRSF14
O43612,,T,F,F,F,O43614,,G protein-coupled receptor,"The orexin-A and orexin-B products are neuropeptides that play a significant role in the regulation of food intake and sleep-wakefulness,possibly by coordinating the complex behavioral and physiologic responses of these complementary homeostatic functions,such as energy metabolism,autonomic function,hormonal balance and the regulation of body fluids. HCRTR2 is a nonselective,high-affinity receptor for both orexin-A and orexin-B neuropeptides. An increase in cytoplasmic Ca(2+) levels is triggered in response to orexin-A binding.",,Extracellular Protein Mediator,Regulatory,+,HCRT,HCRTR2
O43612,,T,F,F,F,O43614,2236512,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,OX-A,HCRTR2
O43612,,T,F,F,F,O43614,2236512,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,OX-B,HCRTR2
O43612,,T,F,F,F,O43613,16069,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,OX-A,Ox-1-R
O43915,,T,F,F,F,Q02223,,Single pass TM receptor,regulates B-cell proliferation and differentiation,,Extracellular Protein Mediator,Regulatory,+,TNF13,TNFRSF17
O43915,,T,F,F,F,P35916,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. binds to cause FLT4 dimerization and autophosphorylation to activate downstream effects ",,Extracellular Protein Mediator,Tyr Kinase,+,VEGFD,VEGFR3
O43921,,T,F,F,F,P54756,1916,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,EFNA2,EPHA5
O43921,,T,F,F,F,Q9UF33,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulatory manner",,Extracellular Protein Mediator,Tyr Kinase,+,EFNA2,EPHA6
O43927,,T,F,F,F,Q9NPB9,,G protein-coupled 7TM receptor,"Engagement of CXCL13 with CCRL1 activates downstream signalling,resulting in chemotaxis of B cells and follicular helper T cells. ",,Extracellular Protein Mediator,Regulatory,+,CXCL13,CCRL1
O43927,,T,F,F,F,P49682,,G protein-coupled 7TM receptor,"CXCL13 acts as CXCR3 agonist in stimulating GTP-gamma S binding. The exact signalling pathways downstream that are downstream of CXCR3 are unclear,but it induces chemotaxis in T cells through pathways other than inducing calcium flux.  ",,Extracellular Protein Mediator,Regulatory,+,CXCL13,CXCR3
O43927,,T,F,F,F,P32302,4850620,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CXCL13,CXCR5
O60258,,T,F,F,F,P22607,1177,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF17,FGFR3
O60258,,T,F,F,F,P22455,1263,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF17,FGFR4
O60383,,T,F,F,F,Q13873,672,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,GDF9,BMPR2
O60542,,T,F,F,F,Q9GZZ7,19108788,Single pass TM receptor,"Engagement of PSPN with GFRA4 activates downstream signalling,leading to autophosphorylation and activation of the RET receptor. It induces neurotrophic activity on mesencephalic dopaminergic and motor neurons.",,Extracellular Protein Mediator,Regulatory,+,PSPN,GFRA4
O60565,,T,F,F,F,P35968,614,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Tyr Kinase,+,GREM1,VEGFR2
O75095,,T,F,F,F,P00533,592,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,MEGF6,EGFR
O75888,,T,F,F,F,O14836,11967285,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,TNFSF13,TNFRSF13B
O75888,,T,F,F,F,Q96RJ3,4854599,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,TNFSF13,TNFRSF13C
O75888,,T,F,F,F,Q02223,13906,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,TNFSF13,TNFRSF17
O76081,,T,F,F,F,P49286,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,RGS20,MTNR1B
O76093,,T,F,F,F,P22607,1177,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF18,FGFR3
O95150,,T,F,F,F,P10828,3408,Nuclear hormone receptor/transcription factor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,TNFSF15,THRB
O95390,,T,F,F,F,Q13705,783,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins such as SAMD-2,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,GDF11,ACVR2B
O95390,,T,F,F,F,Q13705,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. GDF11 binds to ACVR2B leading to the recruitment and activation of a type I receptor such as ALK4/ ALK5 or ALK7 to form a receptor complex. The activated type I receptor phosphorylates receptor-regulated SMAD proteins (SMAD2/3). Phosphorylated SMAD2/3 form a complex with SMAD4 which translocates to the nucleus to regulate the expression of target genes.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,GDF11,ACVR2B
O95390,,T,F,F,F,P36897,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation. This controls anterior/posterior axial patterning during development. ",,Extracellular Protein Mediator,Ser/Thr Kinase,+,GDF11,TGFBR1
O95393,,T,F,F,F,P37023,818,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD1,SMAD5 and SMAD8,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP10,ALK1
O95393,,T,F,F,F,P36894,2007,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP10,BMPR1A
O95393,,T,F,F,F,O00238,816,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,BMP10,BMPR1B
O95393,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD1,SMAD5 and SMAD8,which are activated transcription factors upon their phosphorylation. This leads to maintenance of the proliferative activity of embryonic cardiomyocytes by preventing premature activation of the negative cell cycle regulator CDKN1C/p57KIP and maintains the expression levels of cardiogenic factors MEF2C and NKX2-5.  It is also important for maintaining pulmonary endothelial cell function. ",,Extracellular Protein Mediator,Regulatory,+,BMP10,BMPR2
O95450,,T,F,F,F,O60609,,Single pass TM receptor,ADAMTS2 cleaves the propeptides of type I and II collagen prior to fibril assembly. It may also play a role in development that is independent of its role in collagen biosynthesis.,,Metabolic,Regulatory,0,ADAMTS2,"GFRA3
"
O95715,,T,F,F,F,P61073,7104,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CXCL14,CXCR4
O95750,,T,F,F,F,P11362,599,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF19,"FGFR1
"
O95750,,T,F,F,F,P21802,1262,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF19,FGFR2
O95750,,T,F,F,F,P22607,1177,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF19,FGFR3
O95750,,T,F,F,F,P22455,1263,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,FGF19,FGFR4
O95750,,T,F,F,F,Q9UEF7,24693,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,FGF19,KL
O95760,,T,F,F,F,P14778,4520,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IL33,IL1R1
O95813,,T,F,F,F,P12644,2360806,Secreted protein,Engagement with BMP4 may inhibit its downstream signalling,,Extracellular Protein Mediator,Regulatory,-,CER1,BMP4
O95813,,T,F,F,F,Q96S42,14559579,Secreted protein,Engagement with Nodal may inhibit its downstream signalling,,Extracellular Protein Mediator,Regulatory,-,CER1,Nodal
O95841,,T,F,F,F,Q8N423,5001,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,ANGPTL1,LILRB2
O95972,,T,F,F,F,P37023,818,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP15,ALK1
P00797,,T,F,F,F,O75787,3574594,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,REN,ATP6AP2
P01019,,T,F,F,F,P30556,2253,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,AGT,AGTR1
P01019,,T,F,F,F,P63096,,G protein-coupled 7TM receptor,inhibit the activity of protein C (P50052) affecting pathways related to coagulation and inflammation,,Extracellular Protein Mediator,Regulatory,+,Angiotensin,AGTR2
P01019,,T,F,F,F,P50052,16454,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,AGT,AT2
P01042,,T,F,F,F,P46663,,G protein-coupled 7TM receptor,"High molecular weight (HMW) kininogen plays an important role in blood coagulation by helping to position optimally prekallikrein and factor XI next to factor XII and also inhibits the thrombin- and plasmin-induced aggregation of thrombocytes. It is also a source of bradykinin. Like bradykinin,it can bind to the BKR1 and BKR2 receptors,and activate G proteins that stimulate PIP2 breakdown and release of IP3 to cause the release of calcium from calciosomes.",,Extracellular Protein Mediator,Regulatory,+,KNG1,BKR1
P01042,,T,F,F,F,P30411,,G protein-coupled 7TM receptor,"High molecular weight (HMW) kininogen plays an important role in blood coagulation by helping to position optimally prekallikrein and factor XI next to factor XII and also inhibits the thrombin- and plasmin-induced aggregation of thrombocytes. It is also a source of bradykinin. Like bradykinin,it can bind to the BKR1 and BKR2 receptors,and activate G proteins that stimulate PIP2 breakdown and release of IP3 to cause the release of calcium from calciosomes.",,Extracellular Protein Mediator,Regulatory,+,KNG1,BKR2
P01127,,T,F,F,F,P16234,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,PDGFB,PDGFRA
P01127,,T,F,F,F,P09619,634,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,PDGFB,PDGFRB
P01127,,T,F,F,F,P09619,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,PDGFB,PDGFRB
P01133,,T,F,F,F,P00533,592,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets,including Ras/MAPK,PI3K/AKT,PLC-gamma and Stat pathways. ",,Extracellular Protein Mediator,Tyr Kinase,+,EGF,EGFR
P01135,,T,F,F,F,P00533,592,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets,including Ras/MAPK,PI3K/AKT,PLC-gamma and Stat pathways. ",,Extracellular Protein Mediator,Tyr Kinase,+,TGFA,EGFR
